src,dst,packet_count,byte_count,label
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
2001:db8::100,2001:db8::1,1,118,0
2001:db8::1,2001:db8::100,1,118,0
